target,model,K,P,panel_size,recovered_P,recall,target_success
HIF1A,ipin_optimized,9,3,303,0.0,0.0,0.0
HIF1A,ipin_optimized,10,3,303,0.0,0.0,0.0
HIF1A,ipin_optimized,11,3,303,0.0,0.0,0.0
HIF1A,ipin_optimized,12,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,13,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,14,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,15,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,16,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,17,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,18,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,19,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,20,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,21,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,22,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,23,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,24,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,25,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,26,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,27,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,28,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,29,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,30,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,31,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,32,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,33,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,34,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,35,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,36,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,37,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,38,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,39,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,40,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,41,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,42,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,43,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,44,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,45,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,46,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,47,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,48,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,49,3,303,1.0,0.3333333333333333,1.0
HIF1A,ipin_optimized,50,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,1,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,2,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,3,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,4,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,5,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,6,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,7,3,303,0.0,0.0,0.0
HIF1A,tuna_retrained,8,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,9,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,10,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,11,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,12,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,13,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,14,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,15,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,16,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,17,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,18,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,19,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,20,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,21,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,22,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,23,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,24,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,25,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,26,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,27,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,28,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,29,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,30,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,31,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,32,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,33,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,34,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,35,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,36,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,37,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,38,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,39,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,40,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,41,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,42,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,43,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,44,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,45,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,46,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,47,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,48,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,49,3,303,1.0,0.3333333333333333,1.0
HIF1A,tuna_retrained,50,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,1,3,303,0.0,0.0,0.0
CTNNB1,ipin_baseline,2,3,303,0.0,0.0,0.0
CTNNB1,ipin_baseline,3,3,303,0.0,0.0,0.0
CTNNB1,ipin_baseline,4,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,5,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,6,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,7,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,8,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,9,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,10,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,11,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,12,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,13,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,14,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,15,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,16,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,17,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,18,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,19,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,20,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,21,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,22,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,23,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,24,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,25,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,26,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,27,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,28,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,29,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,30,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,31,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,32,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,33,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,34,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,35,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,36,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,37,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,38,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,39,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,40,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,41,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,42,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,43,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,44,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,45,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,46,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,47,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,48,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,49,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_baseline,50,3,303,1.0,0.3333333333333333,1.0
CTNNB1,ipin_optimized,1,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,2,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,3,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,4,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,5,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,6,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,7,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,8,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,9,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,10,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,11,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,12,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,13,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,14,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,15,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,16,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,17,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,18,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,19,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,20,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,21,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,22,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,23,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,24,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,25,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,26,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,27,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,28,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,29,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,30,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,31,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,32,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,33,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,34,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,35,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,36,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,37,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,38,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,39,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,40,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,41,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,42,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,43,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,44,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,45,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,46,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,47,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,48,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,49,3,303,0.0,0.0,0.0
CTNNB1,ipin_optimized,50,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,1,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,2,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,3,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,4,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,5,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,6,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,7,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,8,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,9,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,10,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,11,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,12,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,13,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,14,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,15,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,16,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,17,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,18,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,19,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,20,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,21,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,22,3,303,0.0,0.0,0.0
CTNNB1,tuna_retrained,23,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,24,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,25,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,26,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,27,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,28,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,29,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,30,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,31,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,32,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,33,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,34,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,35,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,36,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,37,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,38,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,39,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,40,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,41,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,42,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,43,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,44,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,45,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,46,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,47,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,48,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,49,3,303,1.0,0.3333333333333333,1.0
CTNNB1,tuna_retrained,50,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,1,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,2,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,3,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,4,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,5,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,6,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,7,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,8,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,9,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,10,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,11,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,12,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,13,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,14,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,15,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,16,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,17,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,18,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,19,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,20,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,21,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,22,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,23,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,24,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,25,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,26,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,27,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,28,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,29,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,30,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,31,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,32,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_baseline,33,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,34,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,35,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,36,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,37,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,38,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,39,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,40,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,41,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,42,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,43,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,44,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,45,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,46,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,47,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,48,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,49,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_baseline,50,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,1,3,303,0.0,0.0,0.0
TNFRSF1A,ipin_optimized,2,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,3,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,4,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,5,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,6,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,7,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,8,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,9,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,10,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,11,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,12,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,13,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,14,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,15,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,16,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,17,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,18,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,19,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,20,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,21,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,22,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,23,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,24,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,25,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,26,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,27,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,28,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,29,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,30,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,31,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,32,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,33,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,34,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,35,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,36,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,37,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,38,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,39,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,40,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,41,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,42,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,43,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,44,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,45,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,46,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,47,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,48,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,49,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,ipin_optimized,50,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,1,3,303,0.0,0.0,0.0
TNFRSF1A,tuna_retrained,2,3,303,0.0,0.0,0.0
TNFRSF1A,tuna_retrained,3,3,303,0.0,0.0,0.0
TNFRSF1A,tuna_retrained,4,3,303,0.0,0.0,0.0
TNFRSF1A,tuna_retrained,5,3,303,0.0,0.0,0.0
TNFRSF1A,tuna_retrained,6,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,7,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,8,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,9,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,10,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,11,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,12,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,13,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,14,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,15,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,16,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,17,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,18,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,19,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,20,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,21,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,22,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,23,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,24,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,25,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,26,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,27,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,28,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,29,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,30,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,31,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,32,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,33,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,34,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,35,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,36,3,303,1.0,0.3333333333333333,1.0
TNFRSF1A,tuna_retrained,37,3,303,1.0,0.3333333333333333,1.0
